InvoiceNo,CustomerID,InvoiceDate,InvoiceTotal,NumItems
536365,17850.0,2010-12-01 08:26:00,139.12,40
536366,17850.0,2010-12-01 08:28:00,22.200000000000003,12
536367,13047.0,2010-12-01 08:34:00,278.73,83
536368,13047.0,2010-12-01 08:34:00,70.05000000000001,15
536369,13047.0,2010-12-01 08:35:00,17.85,3
536370,12583.0,2010-12-01 08:45:00,855.86,449
536371,13748.0,2010-12-01 09:00:00,204.0,80
536372,17850.0,2010-12-01 09:01:00,22.200000000000003,12
536373,17850.0,2010-12-01 09:02:00,259.86,88
536374,15100.0,2010-12-01 09:09:00,350.4,32
536375,17850.0,2010-12-01 09:32:00,259.86,88
536376,15291.0,2010-12-01 09:32:00,328.8,112
536377,17850.0,2010-12-01 09:34:00,22.200000000000003,12
536378,14688.0,2010-12-01 09:37:00,444.98,454
536380,17809.0,2010-12-01 09:41:00,34.8,24
536381,15311.0,2010-12-01 09:41:00,449.98,198
536382,16098.0,2010-12-01 09:45:00,430.6,134
536384,18074.0,2010-12-01 09:53:00,489.6,190
536385,17420.0,2010-12-01 09:56:00,130.85,53
536386,16029.0,2010-12-01 09:57:00,508.20000000000005,236
536387,16029.0,2010-12-01 09:58:00,3193.92,1440
536388,16250.0,2010-12-01 09:59:00,226.14,108
536389,12431.0,2010-12-01 10:03:00,358.25,107
536390,17511.0,2010-12-01 10:19:00,1825.74,1568
536392,13705.0,2010-12-01 10:29:00,318.14,103
536393,13747.0,2010-12-01 10:37:00,79.6,8
536394,13408.0,2010-12-01 10:39:00,1024.68,544
536395,13767.0,2010-12-01 10:47:00,507.88,260
536396,17850.0,2010-12-01 10:51:00,376.36,102
536397,17924.0,2010-12-01 10:51:00,279.0,60
536398,13448.0,2010-12-01 10:52:00,426.56,150
536399,17850.0,2010-12-01 10:52:00,22.200000000000003,12
536400,13448.0,2010-12-01 10:53:00,17.4,12
536401,15862.0,2010-12-01 11:21:00,354.23,124
536402,15513.0,2010-12-01 11:22:00,357.0,116
536403,12791.0,2010-12-01 11:27:00,192.60000000000002,97
536404,16218.0,2010-12-01 11:29:00,471.3,438
536405,14045.0,2010-12-01 11:32:00,326.4,128
536406,17850.0,2010-12-01 11:33:00,353.14,96
536407,17850.0,2010-12-01 11:34:00,22.200000000000003,12
536408,14307.0,2010-12-01 11:41:00,783.11,558
536409,17908.0,2010-12-01 11:45:00,243.28,173
536412,17920.0,2010-12-01 11:49:00,514.41,220
536415,12838.0,2010-12-01 11:57:00,390.79,228
536416,13255.0,2010-12-01 11:58:00,225.7,110
536420,16583.0,2010-12-01 12:03:00,233.45,111
536423,18085.0,2010-12-01 12:08:00,303.9,78
536425,13758.0,2010-12-01 12:08:00,362.45,137
536437,13694.0,2010-12-01 12:12:00,842.12,1004
536446,15983.0,2010-12-01 12:15:00,440.89,329
536460,14849.0,2010-12-01 12:22:00,295.54,158
536463,14849.0,2010-12-01 12:22:00,17.4,12
536464,17968.0,2010-12-01 12:23:00,277.35,160
536466,14849.0,2010-12-01 12:23:00,42.9,18
536477,16210.0,2010-12-01 12:27:00,2474.7400000000002,1070
536488,17897.0,2010-12-01 12:31:00,165.89,72
536500,17377.0,2010-12-01 12:35:00,223.9,102
536502,16552.0,2010-12-01 12:36:00,95.29,39
536508,17181.0,2010-12-01 12:38:00,155.52,216
536514,17951.0,2010-12-01 12:40:00,295.5,118
536520,14729.0,2010-12-01 12:43:00,313.49,197
536521,12748.0,2010-12-01 12:48:00,4.95,1
536522,15012.0,2010-12-01 12:49:00,191.06,86
536523,12868.0,2010-12-01 12:50:00,203.3,112
536524,17572.0,2010-12-01 12:51:00,70.80000000000001,24
536525,14078.0,2010-12-01 12:54:00,136.24,29
536526,14001.0,2010-12-01 12:58:00,301.24,94
536527,12662.0,2010-12-01 13:04:00,261.48,157
536528,15525.0,2010-12-01 13:17:00,313.93,124
536529,14237.0,2010-12-01 13:20:00,161.0,38
536530,17905.0,2010-12-01 13:21:00,201.75,72
536531,15485.0,2010-12-01 13:23:00,950.09,416
536532,12433.0,2010-12-01 13:24:00,1919.1399999999999,1852
536533,16955.0,2010-12-01 13:31:00,156.1,80
536534,15350.0,2010-12-01 13:33:00,115.65,51
536535,15605.0,2010-12-01 13:38:00,194.85000000000002,71
536536,18144.0,2010-12-01 13:45:00,165.04999999999998,95
536537,15922.0,2010-12-01 13:51:00,369.5,138
536538,14594.0,2010-12-01 13:54:00,255.0,146
536539,15165.0,2010-12-01 14:03:00,487.75,160
536540,14911.0,2010-12-01 14:05:00,540.38,231
536541,14911.0,2010-12-01 14:05:00,15.0,12
536542,16456.0,2010-12-01 14:11:00,787.4,392
536551,17346.0,2010-12-01 14:34:00,146.61,88
536556,17643.0,2010-12-01 14:38:00,101.55,71
536557,17841.0,2010-12-01 14:41:00,537.38,199
536559,17873.0,2010-12-01 14:54:00,215.14999999999998,129
536560,13093.0,2010-12-01 15:00:00,799.4,256
536561,12921.0,2010-12-01 15:06:00,322.40000000000003,140
536562,13468.0,2010-12-01 15:08:00,308.65000000000003,99
536563,17760.0,2010-12-01 15:08:00,172.54,165
536564,13468.0,2010-12-01 15:08:00,51.4,12
536566,16928.0,2010-12-01 15:21:00,116.25,93
536567,16048.0,2010-12-01 15:27:00,251.40000000000003,132
536568,16048.0,2010-12-01 15:28:00,5.04,12
536569,16274.0,2010-12-01 15:35:00,357.95,155
536570,14496.0,2010-12-01 15:35:00,304.34000000000003,86
536571,14696.0,2010-12-01 15:37:00,294.62,284
536572,16539.0,2010-12-01 15:40:00,442.34999999999997,301
536573,17025.0,2010-12-01 15:45:00,143.12,136
536574,17025.0,2010-12-01 15:46:00,17.85,3
536575,13777.0,2010-12-01 16:01:00,1552.98,858
536576,13777.0,2010-12-01 16:11:00,2558.42,1122
536577,13777.0,2010-12-01 16:13:00,497.0,388
536578,17690.0,2010-12-01 16:15:00,279.6,104
536579,13777.0,2010-12-01 16:16:00,315.96000000000004,276
536580,17690.0,2010-12-01 16:17:00,97.19999999999999,66
536581,13777.0,2010-12-01 16:19:00,330.0,200
536582,12947.0,2010-12-01 16:21:00,304.04,184
536583,13777.0,2010-12-01 16:21:00,198.0,120
536584,13777.0,2010-12-01 16:22:00,1132.8000000000002,384
536585,17460.0,2010-12-01 16:24:00,19.9,2
536586,18229.0,2010-12-01 16:25:00,344.2,44
536587,14142.0,2010-12-01 16:33:00,311.81,313
536588,17069.0,2010-12-01 16:49:00,277.05,103
536590,13065.0,2010-12-01 16:52:00,205.86,74
536591,14606.0,2010-12-01 16:57:00,159.26,81
536591,14606.0,2010-12-01 16:58:00,39.06,12
536593,16835.0,2010-12-01 17:15:00,81.75,19
536594,15235.0,2010-12-01 17:22:00,79.5,34
536595,13576.0,2010-12-01 17:24:00,349.15,108
536597,18011.0,2010-12-01 17:35:00,102.78999999999999,71
536598,13090.0,2010-12-02 07:48:00,160.6,76
536599,15694.0,2010-12-02 07:49:00,306.4,80
536600,17850.0,2010-12-02 08:32:00,251.62,56
536601,17850.0,2010-12-02 08:33:00,22.200000000000003,12
536602,17850.0,2010-12-02 08:34:00,163.76,64
536603,17850.0,2010-12-02 08:40:00,22.200000000000003,12
536604,14741.0,2010-12-02 08:43:00,184.5,114
536605,13715.0,2010-12-02 08:52:00,272.65000000000003,107
536607,17732.0,2010-12-02 09:29:00,303.97,93
536608,12855.0,2010-12-02 09:37:00,38.1,30
536609,17850.0,2010-12-02 09:41:00,244.46,88
536610,17850.0,2010-12-02 09:42:00,22.200000000000003,12
536611,15752.0,2010-12-02 09:43:00,259.65000000000003,153
536612,17850.0,2010-12-02 09:44:00,206.76,82
536613,17855.0,2010-12-02 09:44:00,208.97,197
536614,17850.0,2010-12-02 09:44:00,22.200000000000003,12
536615,14047.0,2010-12-02 10:09:00,286.92,108
536616,17925.0,2010-12-02 10:10:00,244.08,72
536617,13941.0,2010-12-02 10:17:00,1095.12,644
536618,17017.0,2010-12-02 10:17:00,780.12,600
536619,17017.0,2010-12-02 10:18:00,97.19999999999999,48
536620,14135.0,2010-12-02 10:27:00,485.25,741
536621,13108.0,2010-12-02 10:35:00,350.06,298
536623,15601.0,2010-12-02 10:39:00,768.38,666
536624,13418.0,2010-12-02 10:45:00,610.64,228
536626,13418.0,2010-12-02 10:46:00,12.600000000000001,6
536627,15658.0,2010-12-02 10:53:00,306.2,64
536628,17850.0,2010-12-02 10:54:00,230.56,86
536629,17850.0,2010-12-02 10:55:00,22.200000000000003,12
536630,17850.0,2010-12-02 10:56:00,244.46,88
536631,17850.0,2010-12-02 10:58:00,22.200000000000003,12
536632,14388.0,2010-12-02 11:02:00,312.8,170
536633,14901.0,2010-12-02 11:20:00,204.15,105
536634,18041.0,2010-12-02 11:21:00,193.78,159
536635,15955.0,2010-12-02 11:22:00,572.38,246
536636,15070.0,2010-12-02 11:23:00,106.2,36
536637,18041.0,2010-12-02 11:35:00,235.16,165
536638,16244.0,2010-12-02 11:41:00,1056.63,619
536639,15111.0,2010-12-02 11:45:00,288.5,106
536641,12748.0,2010-12-02 11:46:00,4.25,1
536643,14390.0,2010-12-02 11:57:00,223.7,74
536663,16546.0,2010-12-02 12:07:00,299.40000000000003,156
536667,15260.0,2010-12-02 12:09:00,362.5,214
536670,15260.0,2010-12-02 12:09:00,58.0,40
536671,13305.0,2010-12-02 12:10:00,136.2,132
536672,14491.0,2010-12-02 12:10:00,127.2,40
536673,14060.0,2010-12-02 12:11:00,339.84,504
536674,15923.0,2010-12-02 12:16:00,127.08,122
536676,16752.0,2010-12-02 12:18:00,207.5,54
536681,17287.0,2010-12-02 12:22:00,113.92,46
536685,17850.0,2010-12-02 12:23:00,380.46,108
536688,17850.0,2010-12-02 12:24:00,22.200000000000003,12
536690,17850.0,2010-12-02 12:25:00,331.26,92
536693,17850.0,2010-12-02 12:26:00,22.200000000000003,12
536698,15363.0,2010-12-02 12:28:00,326.0,144
536707,12915.0,2010-12-02 12:33:00,199.65,41
536732,15544.0,2010-12-02 12:47:00,354.54,274
536733,15738.0,2010-12-02 12:50:00,329.65000000000003,255
536735,17381.0,2010-12-02 12:58:00,211.2,128
536736,17381.0,2010-12-02 12:59:00,824.88,1296
536738,15827.0,2010-12-02 13:06:00,98.18,42
536739,14180.0,2010-12-02 13:08:00,201.75,31
536740,15827.0,2010-12-02 13:08:00,92.75,67
536741,13117.0,2010-12-02 13:11:00,202.12,130
536742,16916.0,2010-12-02 13:14:00,198.08,103
536743,17964.0,2010-12-02 13:32:00,261.76,195
536744,14466.0,2010-12-02 13:36:00,379.75,137
536745,17235.0,2010-12-02 13:38:00,341.9,126
536746,16510.0,2010-12-02 13:39:00,248.1,92
536747,17802.0,2010-12-02 13:44:00,100.2,75
536748,15107.0,2010-12-02 13:45:00,116.0,26
536749,17976.0,2010-12-02 13:49:00,353.19,106
536750,17850.0,2010-12-02 14:04:00,434.8,118
536751,17850.0,2010-12-02 14:05:00,22.200000000000003,12
536752,17850.0,2010-12-02 14:06:00,390.66,104
536753,17850.0,2010-12-02 14:07:00,22.200000000000003,12
536754,14449.0,2010-12-02 14:09:00,210.24,142
536759,16781.0,2010-12-02 14:26:00,311.25,113
536761,13491.0,2010-12-02 14:30:00,98.9,36
536762,16186.0,2010-12-02 14:40:00,307.68,231
536763,17685.0,2010-12-02 14:42:00,452.52,331
536769,17581.0,2010-12-02 14:47:00,668.4,375
536771,17581.0,2010-12-02 14:49:00,118.38,66
536777,15732.0,2010-12-02 15:00:00,138.1,97
536778,13138.0,2010-12-02 15:03:00,193.23,125
536779,15823.0,2010-12-02 15:08:00,15.0,1
536781,17460.0,2010-12-02 15:14:00,50.400000000000006,24
536782,17567.0,2010-12-02 15:18:00,517.95,244
536783,15061.0,2010-12-02 15:19:00,4076.48,2909
536784,15061.0,2010-12-02 15:20:00,2170.9,1330
536785,15061.0,2010-12-02 15:22:00,2730.96,1008
536786,15061.0,2010-12-02 15:23:00,324.0,144
536787,17850.0,2010-12-02 15:24:00,192.46,76
536788,15061.0,2010-12-02 15:25:00,75.0,60
536789,17850.0,2010-12-02 15:25:00,22.200000000000003,12
536790,17850.0,2010-12-02 15:26:00,532.01,141
536791,17850.0,2010-12-02 15:27:00,44.400000000000006,24
536792,15061.0,2010-12-02 15:28:00,30.0,24
536793,16203.0,2010-12-02 15:39:00,170.7,70
536794,13767.0,2010-12-02 15:40:00,322.8,96
536795,15640.0,2010-12-02 15:40:00,333.72,180
536796,15574.0,2010-12-02 15:46:00,375.65,176
536797,16770.0,2010-12-02 15:49:00,130.8,56
536798,17838.0,2010-12-02 15:55:00,717.1600000000001,472
536799,17228.0,2010-12-02 16:00:00,183.3,122
536800,14829.0,2010-12-02 16:12:00,236.97,190
536802,17412.0,2010-12-02 16:29:00,197.3,50
536803,14911.0,2010-12-02 16:33:00,22.5,6
536804,14031.0,2010-12-02 16:34:00,1714.25,531
536805,14775.0,2010-12-02 16:38:00,406.56,384
536806,12971.0,2010-12-02 16:42:00,45.12,84
536808,17659.0,2010-12-02 16:46:00,247.8,64
536809,15299.0,2010-12-02 16:48:00,1003.2,1824
536810,15299.0,2010-12-02 16:50:00,303.96,204
536811,15299.0,2010-12-02 16:51:00,527.85,69
536813,15646.0,2010-12-02 16:59:00,189.8,230
536819,13402.0,2010-12-02 17:12:00,308.28000000000003,190
536821,17757.0,2010-12-02 17:17:00,143.45000000000002,80
536823,13011.0,2010-12-02 17:22:00,50.550000000000004,13
536824,13798.0,2010-12-02 17:24:00,408.0,160
536830,16754.0,2010-12-02 17:38:00,2002.4,4280
536831,16029.0,2010-12-02 17:40:00,569.4,260
536832,16634.0,2010-12-02 17:41:00,164.8,64
536833,18239.0,2010-12-02 17:48:00,438.1,208
536834,14576.0,2010-12-02 17:51:00,35.400000000000006,12
536835,13145.0,2010-12-02 18:06:00,295.0,1
536836,18168.0,2010-12-02 18:08:00,263.3,133
536837,14395.0,2010-12-02 18:15:00,308.68,174
536838,14865.0,2010-12-02 18:23:00,37.2,96
536839,15093.0,2010-12-02 18:25:00,623.73,879
536840,12738.0,2010-12-02 18:27:00,155.35,148
536841,16150.0,2010-12-02 18:27:00,393.42,174
536842,17552.0,2010-12-02 18:45:00,263.62,130
536843,17552.0,2010-12-02 18:46:00,34.9,14
536844,14236.0,2010-12-02 18:49:00,189.3,38
536845,17961.0,2010-12-02 19:18:00,127.55,45
536846,14573.0,2010-12-02 19:59:00,413.1,134
536847,17135.0,2010-12-03 09:31:00,215.57999999999998,222
